name,stores,released,rating,rating_top,ratings_count,suggestions_count,reviews_count,parent_platforms,genres
Tails of Iron 2: Whiskers of Winter,Steam,2025-01-28,0.0,0,3,0,3,"PC, PlayStation, Xbox, Apple Macintosh, Linux, Nintendo","Adventure, Action, RPG, Indie, Platformer"
Dreams of Aether,Steam,2025-04-01,0.0,0,0,105,0,PC,Action
Rue Valley,"Steam, GOG",2025-11-11,0.0,3,4,169,5,"PC, Nintendo","Casual, Indie, Adventure"
Onirism,"Steam, itch.io",2025-10-23,0.0,0,2,592,2,PC,"Indie, Adventure, Action"
Citizen Sleeper 2: Starward Vector,"Steam, GOG",2025-01-31,0.0,5,5,338,5,"PC, Apple Macintosh","Indie, Adventure, RPG"
System Shock 2: 25th Anniversary Remaster,"Steam, GOG",2025-06-25,4.62,5,8,387,8,PC,"Adventure, Action, RPG"
Back to the Dawn,Steam,2025-07-18,0.0,4,5,364,5,PC,"Adventure, RPG, Strategy, Simulation, Indie"
Revenge of the Savage Planet,"Steam, GOG",2025-05-07,3.67,4,9,0,9,PC,"Adventure, Action"
RoboCop: Rogue City - Unfinished Business,"Steam, GOG",2025-07-16,3.19,4,14,236,16,PC,"Adventure, Action"
Marathon,,2025-09-23,0.0,0,4,389,4,"PC, PlayStation, Xbox","Shooter, Action"
Echoes of the End,Steam,2025-08-12,3.12,4,6,125,8,"PC, PlayStation, Xbox","Adventure, Action"
No Players Online,"Steam, itch.io",2025-11-06,3.77,5,11,103,13,"PC, Linux","Shooter, Adventure, Action, Simulation, Indie"
Call of Duty: Black Ops 7,Steam,2025-11-13,1.6,1,10,227,10,"PC, PlayStation, Xbox","Shooter, Action"
Rift of the NecroDancer,Steam,2025-02-05,3.25,4,7,0,8,"PC, Nintendo","Indie, Action, RPG"
CloverPit,Steam,2025-09-26,3.82,4,14,156,17,PC,"Adventure, Action, Strategy, Simulation, Sports, Indie"
Kitchen Wars,Steam,2025-04-16,0.0,0,1,289,1,PC,"Casual, Indie, Adventure, Action"
Donkey Kong Country Returns HD,Nintendo Store,2025-01-16,0.0,4,5,112,5,Nintendo,"Platformer, Action"
Herdling,Steam,2025-08-21,3.25,4,7,219,8,"PC, PlayStation, Nintendo","Casual, Indie, Adventure"
Heretic + Hexen,"Steam, GOG",2025-08-06,0.0,5,4,253,5,PC,"Adventure, Action, RPG"
Painkiller,Steam,2025-10-21,0.0,0,3,507,4,PC,"Shooter, Action"
LEGO Voyagers,Steam,2025-09-15,3.0,4,5,243,6,PC,"Casual, Adventure, Puzzle"
RoadCraft,Steam,2025-05-20,3.5,4,8,486,8,PC,"Adventure, Simulation"
TRIBE NINE,Steam,2025-02-18,0.0,0,1,28,1,PC,"Action, RPG"
Haste,Steam,2025-04-01,2.9,3,10,205,10,PC,"Arcade, Action"
One-Eyed Likho,Steam,2025-07-28,3.8,4,10,0,10,PC,"Indie, Adventure"
Everlusting Life,Steam,2025-05-08,2.71,4,14,414,14,"PC, Apple Macintosh","Adventure, Action, RPG, Strategy, Massively Multiplayer"
"Yes, Your Grace: Snowfall",Steam,2025-05-08,0.0,4,4,464,5,"PC, Xbox, Apple Macintosh, Nintendo",Strategy
Digimon Story Time Stranger,Steam,2025-10-02,0.0,0,1,201,1,"PC, PlayStation, Xbox",RPG
Bye Sweet Carole,Steam,2025-10-09,0.0,0,4,203,4,"PC, PlayStation, Xbox, Apple Macintosh, Nintendo","Indie, Platformer, Adventure"
Beyond Citadel,Steam,2025-01-02,4.0,5,6,326,7,PC,"Indie, Action"
Fantasy Life i: The Girl Who Steals Time,"Steam, PlayStation Store, Nintendo Store",2025-05-21,0.0,0,2,264,2,"PC, PlayStation, Xbox, Nintendo","RPG, Simulation"
The Mr. Rabbit Magic Show,Steam,2025-04-30,3.88,4,8,100,8,"PC, Apple Macintosh","Indie, Adventure"
Sonic Racing: CrossWorlds,Steam,2025-09-25,2.38,1,8,612,8,"PC, PlayStation, Nintendo","Racing, Adventure, Action"
Peripeteia,Steam,2025-02-21,0.0,0,2,269,2,PC,"Shooter, Action, RPG, Simulation, Indie"
Tony Hawk's Pro Skater 3 + 4,Steam,2025-07-10,3.22,5,9,224,9,"PC, PlayStation, Nintendo","Simulation, Sports"
GIRLS' FRONTLINE 2: EXILIUM,Steam,2025-02-10,0.0,0,1,0,1,PC,"Strategy, RPG"
The King is Watching,Steam,2025-07-21,4.25,4,8,128,8,PC,"Strategy, Indie"
FBC: Firebreak,Steam,2025-06-17,2.2,3,9,166,10,"PC, PlayStation, Xbox","Shooter, Action"
The Stone of Madness,"Steam, GOG",2025-01-27,0.0,0,2,559,3,PC,"Strategy, Indie, Action"
Persona5: The Phantom X,Steam,2025-06-25,0.0,0,2,0,2,PC,"Adventure, RPG"
Kingmakers,Steam,2025-10-08,0.0,0,2,294,2,PC,"Strategy, Action, Simulation"
Lost in Random: The Eternal Die,"Steam, GOG",2025-06-16,0.0,0,4,551,4,"PC, Nintendo","Adventure, Action, RPG"
The Roottrees are Dead,Steam,2025-01-15,0.0,5,2,161,5,"PC, Apple Macintosh, Linux",Adventure
Tormented Souls 2,"Steam, PlayStation Store, Xbox Store, GOG",2025-10-23,0.0,0,4,320,4,"PC, PlayStation, Xbox","Adventure, Action"
Assetto Corsa EVO,Steam,2025-01-16,0.0,0,2,429,2,PC,"Racing, Simulation, Sports"
Broken Arrow,"Steam, GOG",2025-06-19,3.75,4,8,178,8,PC,Strategy
"No, I'm Not a Human",,2025-09-15,3.88,4,17,32,17,PC,Indie
Mini Royale,Steam,2025-03-27,0.0,0,4,238,4,PC,"Indie, Shooter, Massively Multiplayer, Action"
Wreckfest 2,Steam,2025-03-20,0.0,0,2,392,2,PC,Racing
mecha break,Steam,2025-07-01,0.0,0,4,0,4,PC,"Massively Multiplayer, Action"
Tales of the Shire: A The Lord of The Rings,"Steam, PlayStation Store, Xbox Store, Nintendo Store",2025-07-29,0.0,0,4,442,4,"PC, PlayStation, Xbox, Nintendo",Simulation
Mina the Hollower,,2025-10-31,0.0,0,2,218,2,PC,"Adventure, RPG"
Trails in the Sky 1st Chapter,Steam,2025-09-01,0.0,0,2,62,2,"PC, PlayStation, Nintendo","Adventure, Action, RPG"
Jotunnslayer: Hordes of Hel,"Steam, GOG",2025-01-20,0.0,4,5,607,5,PC,"Indie, Action"
Blades of Fire,,2025-05-22,3.0,3,7,0,7,,Action
GeoGuessr,Steam,2025-05-08,0.0,4,5,0,5,PC,"Casual, Action"
Urban Myth Dissolution Center,Steam,2025-02-12,3.67,5,5,269,6,PC,Adventure
The Headliners,Steam,2025-01-30,2.14,3,7,179,7,PC,"Indie, Action"
of the Devil,Steam,2025-02-06,0.0,0,1,223,1,PC,"Indie, Adventure"
Commandos: Origins,"Steam, PlayStation Store, Xbox Store",2025-04-09,0.0,0,4,660,4,"PC, PlayStation, Xbox",Strategy
Wednesdays,Steam,2025-03-25,0.0,0,1,0,1,"PC, Apple Macintosh",Indie
Suit for Hire,Steam,2025-06-20,0.0,0,4,320,4,PC,"Indie, Action"
Night is Coming,"Steam, GOG",2025-04-13,0.0,0,1,369,1,PC,"Strategy, Indie, RPG, Simulation"
Luto,Steam,2025-07-21,0.0,0,2,17,2,"PC, PlayStation","Indie, Adventure, Action"
Atelier Yumia: The Alchemist of Memories & the Envisioned Land,"Steam, PlayStation Store, Xbox Store, Nintendo Store",2025-03-20,3.33,3,6,327,6,"PC, PlayStation, Xbox, Nintendo","Adventure, Action, RPG"
Heroes of Hammerwatch II,Steam,2025-01-14,0.0,0,2,144,2,PC,"Indie, Action, RPG"
Winter Burrow,Steam,2025-11-12,0.0,0,3,0,4,"PC, Nintendo","Casual, Indie, Adventure, Simulation"
The Talos Principle: Reawakened,Steam,2025-04-10,0.0,0,3,398,3,"PC, PlayStation","Adventure, Puzzle"
EA SPORTS FC 26,Steam,2025-09-25,3.0,4,8,243,8,"PC, PlayStation, Xbox","Simulation, Sports"
Bongo Cat,Steam,2025-03-05,0.0,0,4,42,4,PC,"Casual, Indie, Simulation"
King Arthur: Legends Rise,Steam,2025-01-21,0.0,0,0,690,0,PC,"Strategy, Adventure, Action, RPG"
Wizordum,"Steam, GOG",2025-04-29,0.0,0,2,542,2,PC,"Shooter, Indie, Action"
"Warhammer 40,000: Space Marine - Master Crafted Edition",Steam,2025-06-10,2.5,3,7,696,8,PC,"Adventure, Action, RPG"
RV There Yet?,Steam,2025-10-21,0.0,0,3,202,3,PC,"Indie, Adventure, Action"
Amerzone - The Explorer's Legacy,"Steam, GOG",2025-04-24,4.33,5,5,320,6,PC,"Adventure, Action, Simulation"
